year 2024
month 08
readout HGCROC
facility CERN-PS
beam-line T09
Run #,beam species,pdg,Beam energy (GeV),Voltage,Vbr,trig delay,machine gun,xpos,ypos,delay,phase,EEMC in
5,Muon +,-13,5,43,38.3,12,20,0,0,0,-1,0
42,Muon +,-13,5,43,38.3,12,20,-5,-2.5,0,-1,0
43,Muon +,-13,5,43,38.3,12,20,5,-2.5,0,-1,0
44,Muon +,-13,5,43,38.3,12,20,5,2.5,0,-1,0
59,Pion -,-211,3,43,38.3,12,20,0,0,10000,-1,0
60,Pion -,-211,5,43,38.3,12,20,0,0,10000,-1,0
61,Pion -,-211,8,43,38.3,12,20,0,0,10000,-1,0
62,Pion -,-211,10,43,38.3,12,20,0,0,10000,-1,0
63,Hadron +,2212,15,43,38.3,12,20,0,0,10000,-1,0
64,Hadron +,2212,5,43,38.3,12,20,0,0,10000,-1,0
65,Hadron +,2212,8,43,38.3,12,20,0,0,10000,-1,0
66,Electron,11,2,43,38.3,12,20,0,0,10000,-1,0
67,Electron,11,2,43,38.3,12,20,0,0,5000,-1,1
70,Electron,11,2,43,38.3,12,20,0,0,10000,-1,1
71,Electron,11,2,43,38.3,12,20,0,0,1000,-1,1
72,Electron,11,2,43,38.3,16,20,0,0,500,-1,1
73,Electron,11,2,43,38.3,16,11,0,0,500,-1,1
74,Electron,11,5,43,38.3,16,11,0,0,500,-1,1
75,Electron,11,5,43,38.3,16,11,0,0,500,-1,1
76,Electron,11,5,43,38.3,16,11,0,0,100,-1,1
77,Pion -,-211,10,43,38.3,16,11,0,0,10000,-1,0
78,Pion -,-211,10,43,38.3,16,11,0,0,5000,-1,0
79,Pion -,-211,10,43,38.3,16,11,0,0,20000,-1,0
80,Pion -,-211,10,43,38.3,17,11,0,0,40000,-1,0
81,Pion -,-211,10,43,38.3,17,9,0,0,20000,-1,0
82,Pion -,-211,10,43,38.3,18,5,0,0,20000,-1,0
83,Pion -,-211,10,43,38.3,19,9,0,0,20000,0,0
86,Pion -,-211,10,43,38.3,19,9,0,0,20000,0,0
87,Pion -,-211,10,43,38.3,19,9,0,0,20000,1,0
88,Pion -,-211,10,43,38.3,19,9,0,0,20000,2,0
