year 2025
month 10
readout HGCROC
facility ORNL
beam-line pulser
Run #,beam species,pdg,Beam energy (GeV),Voltage,Vbr,trig delay,machine gun,xpos,ypos,delay,phase,EEMC in
100,g,-13,5,43,38.3,0,20,0,0,0,-1,0,ped
101,g,-13,5,43,38.3,0,20,0,0,0,-1,0,1 SiPM
102,g,-13,5,43,38.3,0,20,0,0,0,-1,0,1-2 SiPM
103,g,-13,5,43,38.3,0,20,0,0,0,-1,0,1-3 SiPM
104,g,-13,5,43,38.3,0,20,0,0,0,-1,0,1-4 SiPM
105,g,-13,5,43,38.3,0,20,0,0,0,-1,0,1-4 & 6 SiPM
106,g,-13,5,43,38.3,0,20,0,0,0,-1,0,1-4 & 6-7 SiPM
107,g,-13,5,43,38.3,0,20,0,0,0,-1,0,1-4 & 6-8 SiPM
108,g,-13,5,43,38.3,0,20,0,0,0,-1,0,1 SiPM
109,g,-13,5,43,38.3,0,20,0,0,0,-1,0,2 SiPM
110,g,-13,5,43,38.3,0,20,0,0,0,-1,0,3 SiPM
111,g,-13,5,43,38.3,0,20,0,0,0,-1,0,4 SiPM
112,g,-13,5,43,38.3,0,20,0,0,0,-1,0,6 SiPM
113,g,-13,5,43,38.3,0,20,0,0,0,-1,0,7 SiPM
114,g,-13,5,43,38.3,0,20,0,0,0,-1,0,8 SiPM
115,g,-13,5,43,38.3,0,20,0,0,0,-1,0,ped
