#module Nr  layer   row     column  BC flag
0   1  1   3   0
0   7  0   0   0
0   7  0   1   0
0   7  0   2   0
0   7  1   1   0
0   7  1   3   0
0   11  1   1   0
0   13  1   3   0
0   16  1   3   0
0   17  0   2   0
0   17  1   3   0
0   18  0   3   0
0   18  1   3   1
0   26  0   3   0
0   27  0   0   0
0   27  1   3   0
0   29  1   0   0
0   32  1   3   0
0   33  1   3   0
0   36  0   2   1
0   38  0   1   1
0   49  0   1   0
0   51  1   1   0
0   54  1   0   0
0   59  0   2   0
0   59  1   1   0
0   59  1   2   0
0   59  1   3   0
