#module Nr  layer   row     column  BC flag
0   60  0   0   0
0   60  0   1   0
0   60  0   2   0
0   60  0   3   0
0   60  1   0   0
0   60  1   1   0
0   60  1   2   0
0   60  1   3   0
0   61  0   0   0
0   61  0   1   0
0   61  0   2   0
0   61  0   3   0
0   61  1   0   0
0   61  1   1   0
0   61  1   2   0
0   61  1   3   0
0   62  0   0   0
0   62  0   1   0
0   62  0   2   0
0   62  0   3   0
0   62  1   0   0
0   62  1   1   0
0   62  1   2   0
0   62  1   3   0
0   63  0   0   0
0   63  0   1   0
0   63  0   2   0
0   63  0   3   0
0   63  1   0   0
0   63  1   1   0
0   63  1   2   0
0   63  1   3   0
