Run,Start Time,Stop Time,Elapsed time,Setup,Software Version,Output data format version,Concentrator 0,FPGA FW revision,SW revision,PID,Board 0,Model,uC FW revision,Board 1,Board 2,Board 3,Board 4,Board 5,Board 6,Board 7,Config file,Open[0] eth,Open[1] eth,Open[2] eth,Open[3] eth,Open[4] eth,Open[5] eth,Open[6] eth,Open[7] eth,HV_Vbias,HV_Imax,HV_Adjust_Range,HV_IndivAdj,TempSensType,TempFeedbackCoeff,EnableTempFeedback,StartRunMode,StopRunMode,EventBuildingMode,TstampCoincWindow,PresetTime,PresetCounts,JobFirstRun,JobLastRun,RunSleep,EnableJobs,RunNumber_AutoIncr,DataAnalysis,DataFilePath,OF_OutFileUnit,OF_EnMaxSize,OF_MaxSize,OF_ListLL,OF_ListBin,OF_ListAscii,OF_ListCSV,OF_Sync,OF_ServiceInfo,OF_RunInfo,OF_SpectHisto,OF_ToAHisto,OF_ToTHisto,OF_MCS,OF_Staircase,AcquisitionMode,EnableToT,BunchTrgSource,VetoSource,ValidationSource,ValidationMode,CountingMode,ChTrg_Width,EnableCntZeroSuppr,TrgIdMode,TriggerLogic,Tlogic_Width,MajorityLevel,PtrgPeriod,TrefSource,TrefWindow,TrefDelay,T0_Out,T1_Out,ChEnableMask0,ChEnableMask1,FastShaperInput,TD_CoarseThreshold,TD_FineThreshold,Hit_HoldOff,Tlogic_Mask0,Tlogic_Mask1,QD_CoarseThreshold,QD_FineThreshold,Q_DiscrMask0,Q_DiscrMask1,GainSelect,HG_Gain,LG_Gain,Pedestal,ZS_Threshold_LG,ZS_Threshold_HG,HG_ShapingTime,LG_ShapingTime,HoldDelay,MuxClkPeriod,EHistoNbin,ToAHistoNbin,ToARebin,ToAHistoMin,MCSHistoNbin,AnalogProbe0,DigitalProbe0,ProbeChannel0,AnalogProbe1,DigitalProbe1,ProbeChannel1,TestPulseSource,TestPulseAmplitude,TestPulseDestination,TestPulsePreamp,Tlogic_Mask0_0,Tlogic_Mask1_0,Tlogic_Mask0_1,Tlogic_Mask1_1,Elapsed (s),NumParts,NumTriggers,TotalSize_MB,DebugLogMask
1,04/09/2024 20:08,04/09/2024 22:07,7080.254 s,,Janus 3.6.0,3.3,,6.0 (Build = 8329),2023.11.30.1,25799,,DT5202,400C3101,,,,,,,,Janus_Config.txt,192.168.50.125:tdl:0:0,,,,,,,,45,10.0 mA,4.5,255,TMP37,35,0,ASYNC,MANUAL,DISABLED,100 ns,1 m,1000,1,5,0 s,0,1,ALL,DataFiles,LSB,0,1 GB,DISABLED,1,1,0,1,1,1,0,0,0,0,0,SPECTROSCOPY,1,TLOGIC,DISABLED,T0-IN,DISABLED,SINGLES,0 ns,1,TRIGGER_CNT,OR32_AND2,100 ns,3,1 ms,T1-IN,1.0 us,0 ns,ZERO,BUSY,0xFFFFFFFF,0xFFFFFFFF,HG-PA,320,0,0,0xFFFFFFFF,0xFFFFFFFF,250,0,0xFFFFFFFF,0xFFFFFFFF,BOTH,50,50,200,0,0,25 ns,25 ns,100 ns,300 ns,4K,4K,1,0 ns,4K,OFF,OFF,0,OFF,OFF,0,OFF,200,ALL,BOTH,0xFF000000,0xFF000000,,,7080.254,1,2046,3.43,
2,04/09/2024 22:12,04/09/2024 22:14,106.301 s,,Janus 3.6.0,3.3,,6.0 (Build = 8329),2023.11.30.1,25799,,DT5202,400C3101,,,,,,,,Janus_Config.txt,192.168.50.125:tdl:0:0,,,,,,,,45,10.0 mA,4.5,255,TMP37,35,0,ASYNC,MANUAL,DISABLED,100 ns,1 m,1000,1,5,0 s,0,1,ALL,DataFiles,LSB,0,1 GB,DISABLED,1,1,0,1,1,1,0,0,0,0,0,SPECTROSCOPY,1,TLOGIC,DISABLED,T0-IN,DISABLED,SINGLES,0 ns,1,TRIGGER_CNT,OR32_AND2,100 ns,3,1 ms,T1-IN,1.0 us,0 ns,ZERO,BUSY,0xFFFFFFFF,0xFFFFFFFF,HG-PA,320,0,100,0xFFFFFFFF,0xFFFFFFFF,250,0,0xFFFFFFFF,0xFFFFFFFF,BOTH,50,50,200,0,0,25 ns,25 ns,100 ns,300 ns,4K,4K,1,0 ns,4K,OFF,OFF,0,OFF,OFF,0,OFF,200,ALL,BOTH,0xFF000000,0xFF000000,,,106.301,1,1312,2.14,
3,04/09/2024 22:14,04/09/2024 22:15,22.549 s,,Janus 3.6.0,3.3,,6.0 (Build = 8329),2023.11.30.1,25799,,DT5202,400C3101,,,,,,,,Janus_Config.txt,192.168.50.125:tdl:0:0,,,,,,,,45,10.0 mA,4.5,255,TMP37,35,0,ASYNC,MANUAL,DISABLED,100 ns,1 m,1000,1,5,0 s,0,1,ALL,DataFiles,LSB,0,1 GB,DISABLED,1,1,0,1,1,1,0,0,0,0,0,SPECTROSCOPY,1,TLOGIC,DISABLED,T0-IN,DISABLED,SINGLES,0 ns,1,TRIGGER_CNT,OR32_AND2,100 ns,3,1 ms,T1-IN,1.0 us,0 ns,ZERO,BUSY,0xFFFFFFFF,0xFFFFFFFF,HG-PA,320,0,100,0xFFFFFFFF,0xFFFFFFFF,250,0,0xFFFFFFFF,0xFFFFFFFF,BOTH,50,50,200,0,0,25 ns,25 ns,100 ns,300 ns,256,4K,1,0 ns,4K,OFF,OFF,0,OFF,OFF,0,OFF,200,ALL,BOTH,0xFF000000,0xFF000000,,,22.549,1,614,0.99,
4,04/09/2024 22:15,04/09/2024 22:17,135.292 s,,Janus 3.6.0,3.3,,6.0 (Build = 8329),2023.11.30.1,25799,,DT5202,400C3101,,,,,,,,Janus_Config.txt,192.168.50.125:tdl:0:0,,,,,,,,45,10.0 mA,4.5,255,TMP37,35,0,ASYNC,MANUAL,DISABLED,100 ns,1 m,1000,1,5,0 s,0,1,ALL,DataFiles,LSB,0,1 GB,DISABLED,1,1,0,1,1,1,0,0,0,0,0,SPECTROSCOPY,1,TLOGIC,DISABLED,T0-IN,DISABLED,SINGLES,0 ns,1,TRIGGER_CNT,OR32_AND2,100 ns,3,1 ms,T1-IN,1.0 us,0 ns,ZERO,BUSY,0xFFFFFFFF,0xFFFFFFFF,HG-PA,320,0,100,0xFFFFFFFF,0xFFFFFFFF,250,0,0xFFFFFFFF,0xFFFFFFFF,BOTH,50,50,50,0,0,25 ns,25 ns,100 ns,300 ns,256,4K,1,0 ns,4K,OFF,OFF,0,OFF,OFF,0,OFF,200,ALL,BOTH,0xFF000000,0xFF000000,,,135.292,1,1821,2.95,
5,04/09/2024 22:18,04/09/2024 22:19,85.900 s,,Janus 3.6.0,3.3,,6.0 (Build = 8329),2023.11.30.1,25799,,DT5202,400C3101,,,,,,,,Janus_Config.txt,192.168.50.125:tdl:0:0,,,,,,,,47,10.0 mA,4.5,255,TMP37,35,0,ASYNC,MANUAL,DISABLED,100 ns,1 m,1000,1,5,0 s,0,1,ALL,DataFiles,LSB,0,1 GB,DISABLED,1,1,0,1,1,1,0,0,0,0,0,SPECTROSCOPY,1,TLOGIC,DISABLED,T0-IN,DISABLED,SINGLES,0 ns,1,TRIGGER_CNT,OR32_AND2,100 ns,3,1 ms,T1-IN,1.0 us,0 ns,ZERO,BUSY,0xFFFFFFFF,0xFFFFFFFF,HG-PA,320,0,100,0xFFFFFFFF,0xFFFFFFFF,250,0,0xFFFFFFFF,0xFFFFFFFF,BOTH,50,50,50,0,0,25 ns,25 ns,100 ns,300 ns,256,4K,1,0 ns,4K,OFF,OFF,0,OFF,OFF,0,OFF,200,ALL,BOTH,0x2000000,0x2000000,,,85.9,1,1652,2.46,
6,04/09/2024 22:19,04/09/2024 22:20,64.425 s,,Janus 3.6.0,3.3,,6.0 (Build = 8329),2023.11.30.1,25799,,DT5202,400C3101,,,,,,,,Janus_Config.txt,192.168.50.125:tdl:0:0,,,,,,,,47,10.0 mA,4.5,255,TMP37,35,0,ASYNC,MANUAL,DISABLED,100 ns,1 m,1000,1,5,0 s,0,1,ALL,DataFiles,LSB,0,1 GB,DISABLED,1,1,0,1,1,1,0,0,0,0,0,SPECTROSCOPY,1,TLOGIC,DISABLED,T0-IN,DISABLED,SINGLES,0 ns,1,TRIGGER_CNT,OR32_AND2,100 ns,3,1 ms,T1-IN,1.0 us,0 ns,ZERO,BUSY,0xFFFFFFFF,0xFFFFFFFF,HG-PA,320,0,100,0xFFFFFFFF,0xFFFFFFFF,250,0,0xFFFFFFFF,0xFFFFFFFF,BOTH,50,50,50,0,0,25 ns,25 ns,100 ns,300 ns,256,4K,1,0 ns,4K,OFF,OFF,0,OFF,OFF,0,OFF,200,ALL,BOTH,0x2000000,0x2000000,,,64.425,1,0,0.0,
7,04/09/2024 22:21,04/09/2024 22:22,59.056 s,,Janus 3.6.0,3.3,,6.0 (Build = 8329),2023.11.30.1,25799,,DT5202,400C3101,,,,,,,,Janus_Config.txt,192.168.50.125:tdl:0:0,,,,,,,,47,10.0 mA,4.5,255,TMP37,35,0,ASYNC,MANUAL,DISABLED,100 ns,1 m,1000,1,5,0 s,0,1,ALL,DataFiles,LSB,0,1 GB,DISABLED,1,1,0,1,1,1,0,0,0,0,0,SPECTROSCOPY,1,TLOGIC,DISABLED,T0-IN,DISABLED,SINGLES,0 ns,1,TRIGGER_CNT,OR32_AND2,100 ns,3,1 ms,T1-IN,1.0 us,0 ns,ZERO,BUSY,0xFFFFFFFF,0xFFFFFFFF,HG-PA,320,0,100,0xFFFFFFFF,0xFFFFFFFF,250,0,0xFFFFFFFF,0xFFFFFFFF,BOTH,50,50,50,0,0,25 ns,25 ns,100 ns,300 ns,256,4K,1,0 ns,4K,OFF,OFF,0,OFF,OFF,0,OFF,200,ALL,BOTH,0x40000000,0x40000000,,,59.056,1,0,0.0,
8,04/09/2024 22:22,04/09/2024 22:22,2.148 s,,Janus 3.6.0,3.3,,6.0 (Build = 8329),2023.11.30.1,25799,,DT5202,400C3101,,,,,,,,Janus_Config.txt,192.168.50.125:tdl:0:0,,,,,,,,47,10.0 mA,4.5,255,TMP37,35,0,ASYNC,MANUAL,DISABLED,100 ns,1 m,1000,1,5,0 s,0,1,ALL,DataFiles,LSB,0,1 GB,DISABLED,1,1,0,1,1,1,0,0,0,0,0,SPECTROSCOPY,1,TLOGIC,DISABLED,T0-IN,DISABLED,SINGLES,0 ns,1,TRIGGER_CNT,OR32_AND2,100 ns,3,1 ms,T1-IN,1.0 us,0 ns,ZERO,BUSY,0xFFFFFFFF,0xFFFFFFFF,HG-PA,320,0,100,0xFFFFFFFF,0xFFFFFFFF,250,0,0xFFFFFFFF,0xFFFFFFFF,BOTH,50,50,50,0,0,25 ns,25 ns,100 ns,300 ns,256,4K,1,0 ns,4K,OFF,OFF,0,OFF,OFF,0,OFF,200,ALL,BOTH,0xC3000000,0xC3000000,,,2.148,1,0,0.0,
9,04/09/2024 22:22,04/09/2024 22:37,894.427 s,,Janus 3.6.0,3.3,,6.0 (Build = 8329),2023.11.30.1,25799,,DT5202,400C3101,,,,,,,,Janus_Config.txt,192.168.50.125:tdl:0:0,,,,,,,,47,10.0 mA,4.5,255,TMP37,35,0,ASYNC,MANUAL,DISABLED,100 ns,1 m,1000,1,5,0 s,0,1,ALL,DataFiles,LSB,0,1 GB,DISABLED,1,1,0,1,1,1,0,0,0,0,0,SPECTROSCOPY,1,TLOGIC,DISABLED,T0-IN,DISABLED,SINGLES,0 ns,1,TRIGGER_CNT,OR32_AND2,100 ns,3,1 ms,T1-IN,1.0 us,0 ns,ZERO,BUSY,0xFFFFFFFF,0xFFFFFFFF,HG-PA,320,0,100,0xFFFFFFFF,0xFFFFFFFF,250,0,0xFFFFFFFF,0xFFFFFFFF,BOTH,50,50,50,0,0,25 ns,25 ns,100 ns,300 ns,256,4K,1,0 ns,4K,OFF,OFF,0,OFF,OFF,0,OFF,200,ALL,BOTH,0xC3000000,0xC3000000,,,894.427,1,14278,21.43,
10,04/09/2024 22:37,04/09/2024 22:40,155.693 s,,Janus 3.6.0,3.3,,6.0 (Build = 8329),2023.11.30.1,25799,,DT5202,400C3101,,,,,,,,Janus_Config.txt,192.168.50.125:tdl:0:0,,,,,,,,47,10.0 mA,4.5,255,TMP37,35,0,ASYNC,MANUAL,DISABLED,100 ns,1 m,1000,1,5,0 s,0,1,ALL,DataFiles,LSB,0,1 GB,DISABLED,1,1,0,1,1,1,0,0,0,0,0,SPECTROSCOPY,1,TLOGIC,DISABLED,T0-IN,DISABLED,SINGLES,0 ns,1,TRIGGER_CNT,OR32_AND2,100 ns,3,1 ms,T1-IN,1.0 us,0 ns,ZERO,BUSY,0xFFFFFFFF,0xFFFFFFFF,HG-PA,320,0,100,0xFFFFFFFF,0xFFFFFFFF,250,0,0xFFFFFFFF,0xFFFFFFFF,BOTH,50,50,50,0,0,25 ns,25 ns,100 ns,300 ns,256,4K,1,0 ns,4K,OFF,OFF,0,OFF,OFF,0,OFF,200,ALL,BOTH,0x0,0x4000008,,,155.693,1,0,0.0,
