year 2025
month 11
readout HGCROC
facility CERN-PS
beam-line T09
Run Number,beam species,pdg,beam energy (GeV),bias Voltage ,V_br,trigger delay,machine gun number,Table Position x,Table Position (y),dead time,phase,nrKCU,nrAsic,spare,comments
7,Muon +,-13,5,44,38.3,4,10,12.344,33.000,10000,12,2,4,,
8,Muon +,-13,5,44,38.3,4,10,12.344,33.000,10000,12,2,4,,
9,Muon +,-13,5,44,38.3,4,10,12.344,33.000,10000,12,2,4,,
10,Muon +,-13,5,44,38.3,4,10,12.344,38.432,10000,12,2,4,,
11,Muon +,-13,5,44,38.3,4,10,12.344,43.497,10000,12,2,4,,
12,Muon +,-13,5,44,38.3,4,10,12.344,28.380,10000,12,2,4,,
13,Muon +,-13,5,44,38.3,4,10,12.344,23.430,10000,12,2,4,,
14,Muon +,-13,5,44,38.3,4,10,12.344,48.427,10000,12,2,4,,
15,Muon +,-13,5,44,38.3,4,10,12.344,53.380,10000,12,2,4,,
16,Muon +,-13,5,44,38.3,4,10,18.44,38.401,10000,12,2,4,,
17,Muon +,-13,5,44,38.3,4,10,23.235,38.401,10000,12,2,4,,
18,Muon +,-13,5,44,38.3,4,10,28.423,38.401,10000,12,2,4,,
19,Muon +,-13,5,44,38.3,4,10,7.256,38.401,10000,12,2,4,,
20,Muon +,-13,5,44,38.3,4,10,2.253,38.401,10000,12,2,4,,
21,Muon +,-13,5,44,38.3,4,10,-2.896,38.401,10000,12,2,4,,
22,Muon +,-13,5,44,38.3,4,10,-8.062,38.401,10000,12,2,4,,
23,Muon +,-13,5,44,38.3,4,10,12.35,38.400,10000,12,2,4,,
24,Muon +,-13,5,44,38.3,4,10,17.351,43.409,10000,12,2,4,,
25,Muon +,-13,5,44,38.3,4,10,7.356,43.409,10000,12,2,4,,
26,Muon +,-13,5,44,38.3,4,10,7.356,33.403,10000,12,2,4,,
27,Muon +,-13,5,44,38.3,4,10,17.358,33.403,10000,12,2,4,,
28,Muon +,-13,5,42,38.3,4,10,12.334,38.425,10000,12,2,4,,
29,Muon +,-13,5,43,38.3,4,10,12.334,38.405,10000,12,2,4,,
30,Muon +,-13,5,44,38.3,4,10,12.334,38.405,10000,12,2,4,,
31,Muon +,-13,5,45,38.3,4,10,12.334,38.405,10000,12,2,4,,
32,Muon +,-13,5,46,38.3,4,10,12.334,38.405,10000,12,2,4,,
33,Muon +,-13,5,41,38.3,4,10,12.334,38.405,10000,12,2,4,,
34,Muon +,-13,5,44,38.3,4,10,12.334,38.405,10000,12,2,4,,
35,Muon +,-13,5,44,38.3,4,10,12.334,38.405,10000,12,2,4,,
36,pedestal,0,-,44,38.3,4,10,12.334,38.405,10000,12,2,4,,
37,Hadron +,2212,15,44,38.3,4,10,0,0.000,4000,12,2,4,,
38,Hadron +,2212,15,44,38.3,0,10,0,0.000,4000,12,2,4,,
39,Hadron +,2212,15,44,38.3,0,10,0,0.000,10000,12,2,4,,
40,Hadron +,2212,15,44,38.3,0,10,0,0.000,80000,12,2,4,,
41,Hadron +,2212,15,44,38.3,0,10,0,0.000,800000,12,2,4,,
42,Hadron +,2212,15,44,38.3,0,10,0,0.000,800000,12,2,4,,
43,Hadron +,2212,15,44,38.3,0,10,0,0.000,4000,12,2,4,,
46,Hadron +,2212,15,44,38.3,0,10,0,0.000,4000,12,2,4,,
47,Hadron +,2212,15,44,38.3,4,10,0,0.000,4000,12,2,4,,
48,Hadron +,2212,15,44,38.3,5,10,0,0.000,4000,12,2,4,,
49,Hadron +,2212,15,44,38.3,6,10,0,0.000,4000,12,2,4,,
50,Hadron +,2212,15,44,38.3,6,10,0,0.000,4000,12,2,4,,
51,Hadron +,2212,15,44,38.3,6,10,0,0.000,4000,12,2,4,,
52,Hadron +,2212,15,44,38.3,6,10,0,0.000,4000,12,2,4,,
53,Hadron +,2212,15,44,38.3,6,10,0,0.000,4000,12,2,4,,
54,Hadron +,2212,15,44,38.3,6,10,0,0.000,4000,12,2,4,,
55,pedestal,0,-,44,38.3,6,10,0,0.000,4000,12,2,4,,
56,pedestal,0,-,44,38.3,6,10,0,0.000,4000,12,2,4,,
57,Hadron +,2212,15,44,38.3,6,10,0,0.000,4000,12,2,4,,
58,pedestal,0,-,44,38.3,6,10,0,0.000,4000,12,2,4,,
59,pedestal,0,-,44,38.3,6,10,0,0.000,4000,12,2,4,,
68,pedestal,0,-,44,38.3,6,10,0,0.000,4000,12,2,4,,
69,Muon +,-13,5,44,38.3,6,10,-5.003,5.005,10000,12,2,4,,
70,Muon +,-13,5,44,38.3,6,10,4.997,5.005,10000,12,2,4,,
71,Muon +,-13,5,44,38.3,5,10,4.997,5.005,10000,12,2,4,,
72,Muon +,-13,5,44,38.3,5,10,4.997,5.005,10000,12,2,4,,
73,Muon +,-13,5,44,38.3,6,10,4.997,-5.030,10000,12,2,4,,
74,Muon +,-13,5,44,38.3,6,10,4.997,-5.030,10000,12,2,4,,
75,Muon +,-13,5,44,38.3,6,10,-5.01,-5.030,10000,12,2,4,,
76,Muon +,-13,5,44,38.3,6,10,-0.001,0.008,10000,12,2,4,,
122,pedestal,0,-,0,38.3,6,10,-0.001,0.008,10000,12,2,4,,
123,pedestal,0,-,0,38.3,6,10,-0.001,0.008,10000,12,2,3,,
124,pedestal,0,-,0,38.3,6,10,-0.001,0.008,10000,12,2,2,,
125,pedestal,0,-,0,38.3,6,10,-0.001,0.008,10000,12,2,1,,
126,pedestal,0,-,0,38.3,6,10,-0.001,0.008,10000,12,1,4,,
127,pedestal,0,-,0,38.3,6,10,-0.001,0.008,10000,12,1,3,,
128,pedestal,0,-,0,38.3,6,10,-0.001,0.008,10000,12,1,2,,
129,pedestal,0,-,0,38.3,6,10,-0.001,0.008,10000,12,1,1,,
130,pedestal,0,-,0,38.3,6,10,-0.001,0.008,10000,12,2,4,,
141,pedestal,0,-,0,38.3,6,10,-0.001,0.008,10000,12,2,4,,
156,pedestal,0,-,44,38.3,6,10,-0.001,0.008,10000,12,2,4,,
157,Muon +,-13,5,44,38.3,6,10,-0.001,0.008,1000,12,2,4,,
159,Hadron +,2212,15,44,38.3,6,10,-0.001,0.008,1000,12,2,4,,
160,Hadron +,2212,15,44,38.3,6,10,-0.001,0.008,1000,12,2,4,,
161,pedestal,0,-,44,38.3,6,10,-0.001,0.008,1000,12,2,4,,
164,Muon +,-13,5,44,38.3,6,10,-0.001,0.008,1000,12,2,4,,
165,Electron,11,1,44,38.3,6,10,-0.001,0.008,1000,12,2,4,,
166,Electron,11,2,44,38.3,6,10,-0.001,0.008,1000,12,2,4,,
167,Electron,11,3,44,38.3,6,10,-0.001,0.008,1000,12,2,4,,
168,Electron,11,4,44,38.3,6,10,-0.001,0.008,1000,12,2,4,,
169,Electron,11,4,44,38.3,6,10,-0.001,0.008,1000,12,2,4,,
170,Electron,11,5,44,38.3,6,10,-0.001,0.008,1000,12,2,4,,
171,Positron,-11,1,44,38.3,6,10,-0.001,0.008,1000,12,2,4,,
172,Positron,-11,2,44,38.3,6,10,-0.001,0.008,1000,12,2,4,,
173,Positron,-11,3,44,38.3,6,10,-0.001,0.008,1000,12,2,4,,
174,Positron,-11,4,44,38.3,6,10,-0.001,0.008,1000,12,2,4,,
175,Positron,-11,5,44,38.3,6,10,-0.001,0.008,1000,12,2,4,,
176,Pion -,-211,3,44,38.3,6,10,-0.001,0.008,1000,12,2,4,,
177,Pion -,-211,5,44,38.3,6,10,-0.001,0.008,1000,12,2,4,,
178,Pion -,-211,8,44,38.3,6,10,-0.001,0.008,1000,12,2,4,,
179,Pion -,-211,8,44,38.3,6,10,-0.001,0.008,1000,12,2,4,,
180,Pion -,-211,10,44,38.3,6,10,-0.001,0.008,1000,12,2,4,,
181,Pion -,-211,12,44,38.3,6,10,-0.001,0.008,1000,12,2,4,,
182,Pion -,-211,15,44,38.3,6,10,-0.001,0.008,1000,12,2,4,,
183,Hadron +,2212,3,44,38.3,6,10,-0.001,0.008,1000,12,2,4,,
184,Hadron +,2212,5,44,38.3,6,10,-0.001,0.008,1000,12,2,4,,
185,Hadron +,2212,8,44,38.3,6,10,-0.001,0.008,1000,12,2,4,,
186,Hadron +,2212,10,44,38.3,6,10,-0.001,0.008,1000,12,2,4,,
187,Hadron +,2212,12,44,38.3,6,10,-0.001,0.008,1000,12,2,4,,
188,Hadron +,2212,15,44,38.3,6,10,-0.001,0.008,1000,12,2,4,,
189,Electron,11,2,45,38.3,6,10,-0.001,0.008,1000,12,2,4,,
190,Electron,11,3,45,38.3,6,10,-0.001,0.008,1000,12,2,4,,
191,Electron,11,2,44,38.3,6,10,-0.001,0.008,1000,12,2,4,,
192,Electron,11,3,44,38.3,6,10,-0.001,0.008,1000,12,2,4,,
193,Electron,11,4,44,38.3,6,10,-0.001,0.008,1000,12,2,4,,
194,Electron,11,5,44,38.3,6,10,-0.001,0.008,1000,12,2,4,,
195,Electron,11,5,44,38.3,6,10,-0.003,0.008,1000,12,2,4,,
196,Positron,-11,2,44,38.3,6,10,-0.014,0.006,1000,12,2,4,,
197,Positron,-11,5,44,38.3,6,10,-0.014,0.006,1000,12,2,4,,
198,Positron,-11,4,44,38.3,6,10,-0.014,0.006,1000,12,2,4,,
199,Positron,-11,3,44,38.3,6,10,-0.014,0.006,1000,12,2,4,,
200,Positron,-11,2,44,38.3,6,10,-0.014,0.006,1000,12,2,4,,
201,Muon +,-13,5,44,38.3,6,10,5,4.999,1000,12,2,4,,
202,Muon +,-13,5,44,38.3,6,10,5,4.999,1000,12,2,4,,
203,Muon +,-13,5,44,38.3,6,10,5,4.999,1000,12,2,4,,
204,Muon +,-13,5,44,38.3,6,10,5,-5.003,1000,12,2,4,,
205,Muon +,-13,5,44,38.3,6,10,-5.002,-5.003,1000,12,2,4,,
206,Muon +,-13,5,44,38.3,6,10,-5.002,5.003,1000,12,2,4,,
207,pedestal,0,-,44,38.3,6,10,-5.002,5.003,1000,12,2,4,,
208,pedestal,0,-,44,38.3,6,10,-5.002,5.003,1000,12,2,4,,
209,pedestal,0,-,45,38.3,6,10,-5.002,5.003,1000,12,2,4,,
210,pedestal,0,-,45,38.3,6,10,-5.002,5.003,1000,12,2,4,,
211,Muon +,-13,5,45,38.3,6,10,-5.002,5.003,1000,12,2,4,,
212,Muon +,-13,5,45,38.3,6,10,-5.002,5.003,1000,12,2,4,,
213,Muon +,-13,5,45,38.3,6,10,5.002,5.003,1000,12,2,4,,
214,Muon +,-13,5,45,38.3,6,10,5.002,5.003,1000,12,2,4,,
215,Muon +,-13,5,45,38.3,6,10,-5.004,5.000,1000,12,2,4,,
216,Muon +,-13,5,45,38.3,6,10,-5.004,-5.001,1000,12,2,4,,
217,Muon +,-13,5,45,38.3,6,10,5.002,-5.001,1000,12,2,4,,
218,Electron,11,1,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
219,Electron,11,1,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
220,Electron,11,2,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
221,Electron,11,2,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
222,Electron,11,2,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
223,Electron,11,2,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
224,Electron,11,2,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
225,Electron,11,2,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
226,Electron,11,2,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
227,Electron,11,2,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
228,Electron,11,3,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
229,Electron,11,3,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
230,Electron,11,3,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
231,Electron,11,3,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
232,Electron,11,3,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
233,Electron,11,3,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
234,Electron,11,3,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
235,Electron,11,4,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
236,Electron,11,5,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
237,Pion -,-211,3,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
238,Pion -,-211,5,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
239,Pion -,-211,8,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
240,Pion -,-211,10,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
241,Pion -,-211,12,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
242,Pion -,-211,15,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
243,Hadron +,2212,3,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
244,Hadron +,2212,5,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
245,Hadron +,2212,8,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
246,Hadron +,2212,8,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
247,Hadron +,2212,10,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
248,Hadron +,2212,10,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
249,Hadron +,2212,10,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
250,Hadron +,2212,12,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
251,Hadron +,2212,15,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
252,Muon +,-13,5,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
253,Muon +,-13,5,45,38.3,6,10,-0.003,0.003,1000,12,2,4,,
