year 2026
month 04
readout HGCROC
facility CERN-PS
beam-line T10
Run Number,beam species,pdg,beam energy (GeV),bias Voltage ,V_br,trigger delay,machine gun number,Table Position x,Table Position (y),dead time,phase,nrKCU,nrAsic,temp,RF,CF,CC,CFcomp,comments
1,pedestal,0,-,43,38.3,6,10,0.0,0.0,100,12,1,2,20,12,10,12,10,
2,Muon -,13,5,43,38.3,6,10,0.0,0.0,100,12,1,2,20,12,10,12,10,
5,Muon -,13,5,43,38.3,6,10,0.0,0.0,100,12,1,2,20,12,10,12,10,
6,Muon -,13,5,43,38.3,6,10,0.0,0.0,100,12,1,2,20,12,10,12,10,
7,Muon -,13,5,43,38.3,6,10,0.0,-5.0,100,12,1,2,20,12,10,12,10,
8,Muon -,13,5,43,38.3,6,10,0.0,5.0,100,12,1,2,20,12,10,12,10,
9,Muon -,13,5,43,38.3,6,10,0.0,5.0,100,12,1,2,20,12,10,12,10,
10,Muon -,13,5,43,38.3,6,10,0.0,10.0,100,12,1,2,20,12,10,12,10,
11,Muon -,13,5,43,38.3,6,10,0.0,10.0,100,12,1,2,20,12,10,12,10,
12,Muon -,13,5,43,38.3,6,10,0.0,12.0,100,12,1,2,20,12,10,12,10,
13,Muon -,13,5,43,38.3,6,10,0.0,12.0,100,12,1,2,20,12,10,12,10,
14,Muon -,13,5,43,38.3,6,10,0.0,12.0,100,12,1,2,20,12,10,12,10,
15,Muon -,13,5,43,38.3,6,10,0.0,0.0,100,12,1,2,20,12,10,12,10,
16,Muon -,13,5,43,38.3,6,10,0.0,0.0,100,12,1,2,20,12,10,12,10,
17,pedestal,0,-,43,38.3,6,10,0.0,0.0,10000,12,1,2,20,12,10,12,10,
18,pedestal,0,-,43,38.3,6,10,0.0,0.0,10000,12,1,2,20,12,10,12,10,
19,pedestal,0,-,43,38.3,6,10,0.0,0.0,10000,12,1,2,20,12,10,12,10,
20,pedestal,0,-,43,38.3,6,10,0.0,0.0,10000,12,1,2,20,12,10,12,10,
21,pedestal,0,-,43,38.3,6,10,0.0,0.0,10000,12,1,2,20,12,10,12,10,
39,pedestal,0,-,43,38.3,6,10,0.0,0.0,10000,12,1,2,20,12,10,12,10,
40,Muon -,13,5,43,38.3,6,10,0.0,0.0,10000,12,1,2,20,12,10,12,10,
41,Muon -,13,5,43,38.3,6,10,0.0,0.0,10000,12,1,2,20,12,10,12,10,
42,Muon -,13,5,43,38.3,6,10,0.0,0.0,10000,12,1,2,20,12,10,12,10,
43,Muon -,13,5,43,38.3,6,10,0.0,0.0,10000,12,1,2,20,12,10,12,10,
44,Muon -,13,5,43,38.3,6,10,0.0,0.0,5000,12,1,2,20,12,10,12,10,
45,Muon -,13,5,43,38.3,6,10,0.0,0.0,5000,12,1,2,20,12,10,12,10,
46,Muon -,13,5,43,38.3,6,10,0.0,0.0,2500,12,1,2,20,12,10,12,10,
47,Muon -,13,5,43,38.3,6,10,0.0,0.0,2500,12,1,2,20,12,10,12,10,
48,Muon -,13,5,43,38.3,6,10,0.0,0.0,2500,12,1,2,20,12,10,12,10,
49,Muon -,13,5,43,38.3,6,10,0.0,0.0,2500,12,1,2,20,12,10,12,10,
50,Muon -,13,5,43,38.3,6,10,5.0,0.0,2500,12,1,2,20,12,10,12,10,
51,Muon -,13,5,43,38.3,6,10,5.0,0.0,2500,12,1,2,20,12,10,12,10,
52,Muon -,13,5,43,38.3,6,10,5.0,0.0,2500,12,1,2,20,12,10,12,10,
53,Muon -,13,5,43,38.3,6,10,5.0,-5.0,2500,12,1,2,20,12,10,12,10,
54,Muon -,13,5,43,38.3,6,10,5.0,-5.0,2500,12,1,2,20,12,10,12,10,
55,Muon -,13,5,43,38.3,6,10,5.0,-5.0,4000,12,1,2,20,12,10,12,10,
56,Muon -,13,5,43,38.3,6,10,0.0,-5.0,4000,12,1,2,20,12,10,12,10,
57,Muon -,13,5,43,38.3,6,10,0.0,-5.0,4000,12,1,2,20,12,10,12,10,
58,Muon -,13,5,43,38.3,6,10,-5.0,-5.0,4000,12,1,2,20,12,10,12,10,
59,Muon -,13,5,43,38.3,6,10,-5.0,0.0,4000,12,1,2,20,12,10,12,10,
60,Muon -,13,5,43,38.3,6,10,-5.0,5.0,4000,12,1,2,20,12,10,12,10,
61,Muon -,13,5,43,38.3,6,10,-5.0,5.0,4000,12,1,2,20,12,10,12,10,
62,Muon -,13,5,43,38.3,6,10,0.0,5.0,4000,12,1,2,20,12,10,12,10,
63,Muon -,13,5,43,38.3,6,10,5.0,5.0,4000,12,1,2,20,12,10,12,10,
64,Muon -,13,5,43,38.3,6,10,0.0,5.0,4000,12,1,2,20,12,10,12,10,
65,Muon -,13,5,43,38.3,6,10,0.0,-5.0,4000,12,1,2,20,12,10,12,10,
66,pedestal,0,-,42.5,38.3,6,10,0.0,-5.0,4000,12,1,2,20,12,10,12,10,
67,Muon -,13,5,42.5,38.3,6,10,0.0,-5.0,4000,12,1,2,20,12,10,12,10,
68,Muon -,13,5,42.5,38.3,6,10,0.0,5.0,4000,12,1,2,20,12,10,12,10,
