year 2026
month 05
readout HGCROC
facility CERN-SPS
beam-line H2
Run Number,beam species,pdg,beam energy (GeV),bias Voltage ,V_br,trigger delay,machine gun number,Table Position x,Table Position (y),dead time,phase,nrKCU,nrAsic,Temp,RF,CF,CC,CFComp,comments
1,pedestal,0,-,44,38.3,6,10,0.0,0.0,10000,12,2,4,19.83,9,7,5,1,
2,Muon +,-13,50,44,38.3,6,10,0.0,0.0,10000,12,2,4,19.82,9,7,5,1,
3,pedestal,0,-,44,38.3,6,10,0.0,0.0,10000,12,2,4,19.82,9,7,5,1,
4,pedestal,0,-,44,38.3,6,10,0.0,0.0,10000,12,2,4,19.81,9,7,5,1,
5,Muon +,-13,50,44,38.3,6,10,0.0,0.0,10000,12,2,4,19.81,9,7,5,1,
6,Muon +,-13,50,44,38.3,6,10,0.0,0.0,10000,12,2,4,19.80,9,7,5,1,
7,Muon +,-13,50,44,38.3,6,10,0.0,0.0,2000,12,2,4,19.79,9,7,5,1,
8,Muon +,-13,50,44,38.3,6,10,0.0,0.0,2000,12,2,4,19.79,9,7,5,1,
9,Muon +,-13,50,44,38.3,6,10,0.0,0.0,2000,12,2,4,19.77,9,7,5,1,
10,Muon +,-13,50,44,38.3,6,10,0.0,0.0,2000,12,2,4,19.76,9,7,5,1,
11,Muon +,-13,50,44,38.3,6,10,6.2,-2.5,2000,12,2,4,19.75,9,7,5,1,
12,Muon +,-13,50,44,38.3,6,10,10,-2.5,2000,12,2,4,19.75,9,7,5,1,
13,Muon +,-13,50,44,38.3,6,10,15.0,-2.5,2000,12,2,4,19.75,9,7,5,1,
14,Muon +,-13,50,44,38.3,6,10,15.0,10.0,2000,12,2,4,19.75,9,7,5,1,
15,Muon +,-13,50,44,38.3,6,10,15.0,0.0,2000,12,2,4,19.74,9,7,5,1,
16,Muon +,-13,50,44,38.3,6,10,15.0,-10.0,2000,12,2,4,19.74,9,7,5,1,
17,Muon +,-13,50,44,38.3,6,10,5.0,-10.0,2000,12,2,4,19.73,9,7,5,1,
