#layer  #assembly #HGCROC board   #layer in HGCROC unit # Module Number
0   F001-F002-F003-F004-F005    1 0 0
1   F006-F007-F008-F009-F010    1 1 0
2   F011-F012-F013-F014-F015    1 2 0
3   F016-F017-F018-F019-F020    1 3 0
4   F021-F022-F023-F024-F025-F026-F027-F028-F029-F030    1 4 0
5   F031-F032-F033-F034-F035-F036-F037-F038-F039-F040    1 5 0
6   F041-F042-F043-F044-F045-F046-F047-F048-F049-F050    1 6 0
7   H070-H069-H068-H067-H066-H065-H064-H063-H062-H061    1 7 0
0  H001-H002-H003-H004-H005    0 0 1
1  H006-H007-H008-H009-H010    0 1 1
2  H011-H012-H013-H014-H015    0 2 1
3  H016-H017-H018-H019-H020    0 3 1
4  H021-H022-H023-H024-H025-H026-H027-H028-H029-H030    0 4 1
5  H031-H032-H033-H034-H035-H036-H037-H038-H039-H040    0 5 1
6  H041-H042-H043-H044-H045-H046-H047-H048-H049-H050    0 6 1
7  H051-H052-H053-H054-H055-H056-H057-H058-H059-H060    0 7 1
