#module Nr  layer   row     column  BC flag
0   1  1   2   0
0   1  0   0   0
0   5  1   1   0
0   7  0   0   0
0   7  0   1   0
0   7  0   2   0
0   7  1   1   0
0   7  1   3   0
0   9  0   0   0
0   13  1   1   0
0   16  1   3   0
0   17  0   3   0
0   17  1   2   0
0   17  0   0   0
0   18  0   3   0
0   18  1   3   1
0   21  1   1   0
0   21  1   1   0
0   25  0   0   0
0   26  0   3   0
0   27  0   0   0
0   27  1   3   0
0   29  1   1   0
0   32  1   3   0
0   33  0   0   0
0   33  1   2   1
0   36  0   2   1
0   37  1   1   0
0   38  0   1   1
0   41  0   0   0
0   45  1   2   0
0   49  0   0   0
0   49  0   2   1
0   53  1   1   0
0   54  1   0   0
0   57  0   0   0
0   59  0   2   0
0   59  1   1   0
0   59  1   2   0
0   59  1   3   0
0   60  0   0   0
0   60  0   1   0
0   60  0   2   0
0   60  0   3   0
0   60  1   0   0
0   60  1   1   0
0   60  1   2   0
0   60  1   3   0
0   61  0   0   0
0   61  0   1   0
0   61  0   2   0
0   61  0   3   0
0   61  1   0   0
0   61  1   1   0
0   61  1   2   0
0   61  1   3   0
0   62  0   0   0
0   62  0   1   0
0   62  0   2   0
0   62  0   3   0
0   62  1   0   0
0   62  1   1   0
0   62  1   2   0
0   62  1   3   0
0   63  0   0   0
0   63  0   1   0
0   63  0   2   0
0   63  0   3   0
0   63  1   0   0
0   63  1   1   0
0   63  1   2   0
0   63  1   3   0
