#layer  #assembly #CAEN board   #layer in CAEN unit # Module Number
0   C001    0 0 0
1   C002    0 1 0
2   C003    0 2 0 
3   C065    0 3 0
4   C066    0 4 0
5   C067    0 5 0
6   C070    0 6 0
7   C071    0 7 0
8   C009    1 0 0
9   C010    1 1 0
10  C011    1 2 0
11  C012    1 3 0
12  C013    1 4 0
13  C014    1 5 0
14  C015    1 6 0
15  C016    1 7 0
16  C017    2 0 0
17  C018    2 1 0
18  C019    2 2 0
19  C020    2 3 0
20  C021    2 4 0
21  C022    2 5 0
22  C023    2 6 0
23  C024    2 7 0
24  C025    3 0 0
25  C026    3 1 0
26  C027    3 2 0
27  C028    3 3 0
28  C029    3 4 0
29  C069    3 5 0
30  C031    3 6 0
31  C032    3 7 0
0   C033    4 0 1
1   C034    4 1 1
2   C035    4 2 1
3   C036    4 3 1
4   C037    4 4 1
5   C038    4 5 1
6   C039    4 6 1
7   C040    4 7 1
8   C041    5 0 1
9   C042    5 1 1
10  C043    5 2 1
11  C044    5 3 1
12  C045    5 4 1
13  C046    5 5 1
14  C047    5 6 1
15  C048    5 7 1
16  C049    6 0 1
17  C050    6 1 1
18  C051    6 2 1
19  C052    6 3 1
20  C053    6 4 1
21  C054    6 5 1
22  C055    6 6 1
23  C056    6 7 1
24  C057    7 0 1
25  C058    7 1 1
26  C059    7 2 1
27  C060    7 3 1
28  C061    7 4 1
29  C062    7 5 1
30  C063    7 6 1
31  C064    7 7 1
