#layer  #assembly #HGCROC board   #layer in HGCROC unit # Module Number
0   C001    5 0 0
1   C002    5 1 0
2   C003    5 2 0
3   C065    5 3 0
4   C066    5 4 0
5   C067    5 5 0
6   C070    5 6 0
7   C071    5 7 0
8   C009    4 0 0
9   C010    4 1 0
10  C011    4 2 0
11  C012    4 3 0
12  C013    4 4 0
13  C014    4 5 0
14  C015    4 6 0
15  C016    4 7 0
16  C017    1 0 0
17  C018    1 1 0
18  C019    1 2 0
19  C020    1 3 0
20  C021    1 4 0
21  C022    1 5 0
22  C023    1 6 0
23  C024    1 7 0
24  C025    0 0 0
25  C026    0 1 0
26  C027    0 2 0
27  C028    0 3 0
28  C029    0 4 0
29  C069    0 5 0
30  C031    0 6 0
31  C032    0 7 0
32  C033    7 0 0
33  C034    7 1 0
34  C035    7 2 0
35  C036    7 3 0
36  C037    7 4 0
37  C038    7 5 0
38  C039    7 6 0
39  C040    7 7 0
40  C041    6 0 0
41  C042    6 1 0
42  C043    6 2 0
43  C044    6 3 0
44  C045    6 4 0
45  C046    6 5 0
46  C047    6 6 0
47  C048    6 7 0
48  C049    3 0 0
49  C050    3 1 0
50  C051    3 2 0
51  C052    3 3 0
52  C053    3 4 0
53  C054    3 5 0
54  C055    3 6 0
55  C056    3 7 0
56  C057    2 0 0
57  C058    2 1 0
58  C059    2 2 0
59  C060    2 3 0
#60  C061    2 4 0
#61  C062    2 5 0
#62  C063    2 6 0
#63  C064    2 7 0
